car_id,price,car_age,engine_volume,cylinders,car_run_km,safety_feature_count,comfort_feature_count,manufacturer,model,fuel_type,gear_type,drive_type,color,category,abs,esd,el_windows,conditioner,leather,hydraulics,chair_warming,climat_control,customs_passed,tech_inspection,has_turbo,right_wheel,start_stop,back_camera,is_dealer,is_spec
74868829,14000.0,8,1400.0,4,37800.0,3,23,Fiat,500X,Petrol,Tiptronic,Front,Grey,Hatchback,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0
72454813,1600.0,24,1900.0,4,420000.0,0,13,Alfa Romeo,156,Diesel,Manual,Front,Black,Universal,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0
74387653,8500.0,9,2400.0,4,40000.0,3,20,Fiat,500X,Petrol,Tiptronic,Front,Silver,Jeep,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0
74490753,8800.0,12,2500.0,6,148000.0,2,20,Toyota,Camry,Petrol,Tiptronic,Front,Black,Sedan,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0
74946617,2900.0,22,1500.0,4,228000.0,1,10,Honda,FIT,Petrol,Variator,Front,Black,Sedan,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0
74947957,6500.0,12,1600.0,4,217000.0,3,20,Skoda,Octavia,Diesel,Manual,Front,White,Universal,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0
74799329,8500.0,13,2500.0,4,176000.0,2,28,Toyota,Camry,Petrol,Tiptronic,Front,Black,Sedan,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0
74842205,12000.0,11,2000.0,4,89000.0,2,18,BMW,328,Petrol,Tiptronic,Rear,Silver,Sedan,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0
74949425,27000.0,4,2500.0,6,5900.0,3,39,Toyota,Camry,Petrol,Automatic,Front,Black,Sedan,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0
74773761,7600.0,12,2500.0,4,171000.0,2,29,Toyota,Camry,Hybrid,Tiptronic,Front,Black,Sedan,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0
74939533,9000.0,11,2500.0,4,115200.0,3,22,Toyota,Camry,Petrol,Automatic,Front,Grey,Sedan,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0
74862769,2650.0,19,1400.0,3,172263.0,2,15,Nissan,Note,Petrol,Automatic,Front,Silver,Hatchback,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0
73168457,14900.0,9,3500.0,6,134000.0,3,22,Nissan,Maxima,Petrol,Tiptronic,Front,Black,Sedan,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0
74635677,3000.0,29,2500.0,6,395000.0,3,22,BMW,725,Diesel,Automatic,Rear,Grey,Sedan,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0
74178713,5000.0,23,5000.0,8,208000.0,3,23,Mercedes-Benz,S 500,LPG,Automatic,Front,Black,Sedan,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0
73966037,6700.0,9,1500.0,4,40154.0,2,17,Toyota,Prius C,Hybrid,Variator,Front,White,Hatchback,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0
74446205,8800.0,7,1500.0,4,15235.0,3,22,Toyota,Prius C,Hybrid,Variator,Front,Grey,Hatchback,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0
